llm,prompt_id,word_count,roberta_score,lexical_richness,syntactic_complexity,novelty,imagery,narrative_dynamics,rubric_composite
Perplexity,04,478,4.39,5.47,3.04,6.58,1.58,2.71,4.05
Perplexity,05,482,5.06,4.86,4.24,6.04,1.56,2.76,3.98
Perplexity,06,499,4.47,5.82,4.29,6.71,0.17,2.66,4.05
Perplexity,07,408,3.95,4.76,4.87,5.83,0.81,2.03,3.71
Perplexity,08,310,5.2,5.56,5.97,6.8,0.27,4.91,4.74
Perplexity,09,355,3.89,5.67,4.38,6.82,0.72,1.89,4.02
Perplexity,10,422,4.58,5.4,3.96,6.57,0.4,2.87,3.97
Perplexity,11,450,4.45,5.76,3.74,6.88,0.55,3.3,4.2
Perplexity,12,367,5.24,7.1,4.95,8.08,0.0,2.78,4.74
Perplexity,13,395,4.64,5.36,5.06,6.42,0.42,3.88,4.3
Perplexity,14,326,3.74,5.41,3.75,6.68,1.03,0.87,3.7
Perplexity,15,311,5.11,6.69,4.5,7.81,0.27,3.49,4.72
Perplexity,16,340,2.95,5.33,3.42,6.59,1.01,2.15,3.86
Perplexity,17,381,4.08,5.68,3.81,6.75,1.31,1.69,3.99
Perplexity,18,275,4.97,6.76,3.3,7.82,1.82,2.89,4.74
Perplexity,19,325,3.96,5.31,3.89,6.48,0.51,1.84,3.74
Perplexity,20,363,4.01,5.37,3.61,6.42,1.6,1.91,3.92
Copilot,01,0,2.24,0.0,0.0,0.0,0.0,0.0,0.0
Copilot,02,0,2.24,0.0,0.0,0.0,0.0,0.0,0.0
Copilot,03,397,5.06,5.96,2.78,7.03,2.09,1.33,4.05
Copilot,04,404,4.05,5.16,2.72,6.42,1.83,1.53,3.72
Copilot,05,494,4.15,4.55,3.17,5.78,1.5,1.53,3.44
Copilot,06,457,4.03,4.26,2.73,5.51,0.9,2.0,3.22
Copilot,07,403,2.93,5.0,2.5,6.24,1.01,1.18,3.37
Copilot,08,484,3.33,4.18,3.3,5.3,0.5,3.56,3.47
Copilot,09,384,5.16,6.49,3.05,7.5,1.51,1.41,4.22
Copilot,10,425,2.78,4.35,2.37,5.65,0.39,1.92,3.1
Copilot,11,410,3.57,5.33,2.59,6.62,0.59,1.52,3.53
Copilot,12,444,2.16,4.39,2.22,5.72,0.55,1.77,3.11
Copilot,13,356,2.53,4.01,2.16,5.5,3.15,1.33,3.4
Copilot,14,426,4.31,5.06,2.84,6.29,1.89,1.07,3.6
Copilot,15,477,2.48,3.45,2.1,4.73,1.36,1.3,2.72
Copilot,16,406,2.45,4.09,2.19,5.24,1.59,0.73,2.92
Copilot,17,314,2.13,3.96,2.09,5.39,1.3,1.66,3.05
Copilot,18,397,2.18,4.84,2.26,6.07,0.62,1.25,3.19
Copilot,19,347,3.92,5.26,2.4,6.36,2.15,1.08,3.65
Copilot,20,376,2.68,3.63,2.49,5.13,2.56,0.78,3.05
